,location.postalCode,location.lat,location.lng,categories
0,M3A,43.752672,-79.326351,Bus Stop
1,M3A,43.751976046055574,-79.33214044722958,Park
2,M3A,43.76033437476135,-79.32690570910961,Sandwich Place
3,M3A,43.760341,-79.325519,Discount Store
4,M3A,43.75984035203157,-79.32471879917513,Caribbean Restaurant
5,M3A,43.752265506639944,-79.33232199236224,Residential Building (Apartment / Condo)
6,M3A,43.7547545,-79.3325523,Residential Building (Apartment / Condo)
7,M3A,43.760494,-79.32701,Sandwich Place
8,M5B,43.7535666482373,-79.35130834579466,Construction & Landscaping
9,M3A,43.75680029671985,-79.32534600358498,Spa
11,M3A,43.753441,-79.32164,Burger Joint
12,M3A,43.750530886579504,-79.33736660482928,College Communications Building
13,M3A,43.75380047665277,-79.31958174171733,Public Art
14,M3A,43.75392,-79.3224,Residential Building (Apartment / Condo)
15,M3A,43.75318,-79.33897,Residential Building (Apartment / Condo)
16,M3A,43.746143,-79.32463,Grocery Store
17,M3A,43.758386182411535,-79.33719057061447,Golf Course
18,M3A,43.74804359191481,-79.33673613611643,Residential Building (Apartment / Condo)
19,M1P,43.754568,-79.332035,Coworking Space
21,M3A,43.754513133391214,-79.33194239759004,Convenience Store
23,M3A,43.755123,-79.334583,General Travel
24,M3A,43.75614596189988,-79.32169825563453,High School
25,M3A,43.7480666251842,-79.33669889777033,Police Station
26,M3A,43.753867972696796,-79.33184887400265,Residential Building (Apartment / Condo)
27,M3A,43.7521,-79.3365,Automotive Shop
31,L3R,43.754036,-79.332662,Office
32,M3A,43.7482913687093,-79.3288890789838,School
33,M3A,43.75454660543178,-79.33326822186551,Residential Building (Apartment / Condo)
34,M3A,43.747611,-79.326133,Miscellaneous Shop
35,M3A,43.750594734879606,-79.33734069318756,School
36,M3A,43.748055496934626,-79.3367101421665,Other Great Outdoors
37,M3A,43.756407,-79.325866,Office
38,M3A,43.759572,-79.331993,Office
39,M3A,43.75012772034787,-79.33370832533285,Doctor's Office
40,M3A,43.744,-79.3308,Automotive Shop
41,M3A,43.7587,-79.338,Spiritual Center
42,M3A,43.74841,-79.32627,Bus Stop
43,M3A,43.760582,-79.32764,Bus Stop
44,M1L,43.75236896575416,-79.33221746642002,Elementary School
45,M3A,43.75563673030966,-79.33807073835693,Nursery School
46,M3A,43.760681,-79.32691,Salon / Barbershop
47,M3A,43.752816,-79.319107,Park
49,M3A,43.74668925352585,-79.3226776047074,Skating Rink
50,M3A,43.759543715910596,-79.32576480436171,Library
51,M3A,43.74602,-79.324715,Bakery
52,M3A,43.76027747979718,-79.33330535888672,Park
53,M3A,43.750453,-79.332259,Bridge
54,M3A,43.75231914332775,-79.32344787202561,College Classroom
55,M3A,43.748443,-79.328239,Elementary School
56,M3A,43.7564,-79.325885,Professional & Other Places
57,M3A,43.745761,-79.324969,Pet Store
58,M3A,43.75438666345904,-79.3330206627504,Fast Food Restaurant
59,M3A,43.759322,-79.334858,Convenience Store
60,M3A,43.7562324728174,-79.3338418006897,Pool
61,M3A,43.75509539319703,-79.32433917340141,Spiritual Center
62,M3A,43.757657,-79.338379,Building
63,M3A,43.75348106186997,-79.32168174966306,School
64,M3A,43.751388971393176,-79.33218445820336,Pool
65,M3A,43.75197441585782,-79.33311418516017,Food & Drink Shop
66,M3A,43.75071911519816,-79.33762397563808,Other Great Outdoors
67,M3A,43.759116,-79.331452,Other Nightlife
68,M3A,43.74623107910156,-79.32818603515625,Other Nightlife
69,M3A,43.74621575011826,-79.32527998226708,Pizza Place
70,M3A,43.743901895791964,-79.33079810253167,Church
71,M3A,43.7591672,-79.331294,Playground
72,M3A,43.744,-79.3311,Movie Theater
73,M3A,43.747156,-79.32637427065931,Middle School
74,M3A,43.75935261869432,-79.3357657814283,Hotel
75,M3A,43.759533,-79.33463,Residential Building (Apartment / Condo)
76,M3A,43.74604900332628,-79.32603120803833,Bus Stop
77,M3A,43.75965484896959,-79.33222296778834,Bus Stop
78,M3A,43.745805,-79.325148,Residential Building (Apartment / Condo)
79,M3A,43.75540238129278,-79.33374133300899,Bus Stop
80,CAN,43.747816122276035,-79.33218955993652,Bed & Breakfast
81,M3A,43.75759633714484,-79.33815479278564,Train Station
82,M3A,43.75939829600416,-79.33554802046858,Residential Building (Apartment / Condo)
83,M3A,43.7514955636387,-79.33707779843883,Church
84,M3A,43.76041695791917,-79.32888507843018,Bus Line
85,M3A,43.75119469806736,-79.33735560270063,Park
86,M3A,43.748639084843475,-79.33348827385937,Pet Store
87,M3A,43.75440432816867,-79.31778392450333,Recycling Facility
88,M3A,43.751937,-79.322195,Elementary School
89,M3A,43.74604,-79.325238,Garden Center
90,M3A,43.751388,-79.322138,Park
91,M3A,43.7592505419922,-79.33399989273362,Bus Stop
0,M4A,43.726226,-79.31658,Automotive Shop
1,M4A,43.72571225132836,-79.31504535324812,Automotive Shop
2,M4A,43.72567652442309,-79.31824844403933,Cultural Center
3,M4A,43.725516631714754,-79.31310251366091,Coffee Shop
4,M4A,43.720840478473654,-79.31143212706957,Home Service
6,M4A,43.72588368487703,-79.31392338015411,Gas Station
10,M4A,43.725323,-79.31326,Auto Dealership
11,M4A,43.725197836652235,-79.31349992992446,Fire Station
12,M4A,43.72581876267242,-79.31278541470671,Portuguese Restaurant
13,M4A,43.725823726352196,-79.31286041792907,Pizza Place
14,M4A,43.725883,-79.318173,Transportation Service
